handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
yamamoto-hosui,"山本 芳翠",https://atspect.com/pages/artist/yamamoto-hosui,200,ACTIVE,158,false,false,false,false,未取得,"1906"
harada-naojiro,"原田 直次郎",https://atspect.com/pages/artist/harada-naojiro,200,ACTIVE,188,false,false,false,false,未取得,"1899"
kuroda-seiki,"黒田 清輝",https://atspect.com/pages/artist/kuroda-seiki,200,ACTIVE,206,false,false,false,false,未取得,"1924"
kume-keiichiro,"久米 桂一郎",https://atspect.com/pages/artist/kume-keiichiro,200,ACTIVE,156,false,false,false,false,未取得,"1934"
fujishima-takeji,"藤島 武二",https://atspect.com/pages/artist/fujishima-takeji,200,ACTIVE,180,false,false,false,false,未取得,"1943"
okada-saburosuke,"岡田 三郎助",https://atspect.com/pages/artist/okada-saburosuke,200,ACTIVE,197,false,false,false,false,未取得,"1939"
wada-eisaku,"和田 英作",https://atspect.com/pages/artist/wada-eisaku,200,ACTIVE,139,false,false,false,false,未取得,"1959"
aoki-shigeru,"青木 繁",https://atspect.com/pages/artist/aoki-shigeru,200,ACTIVE,193,false,false,false,false,未取得,"1911"
sakamoto-hanjiro,"坂本 繁二郎",https://atspect.com/pages/artist/sakamoto-hanjiro,200,ACTIVE,186,false,false,false,false,未取得,"1969"
nakamura-tsune,"中村 彝",https://atspect.com/pages/artist/nakamura-tsune,200,ACTIVE,188,false,false,false,false,未取得,"1924"
yorozu-tetsugoro,"萬 鉄五郎",https://atspect.com/pages/artist/yorozu-tetsugoro,200,ACTIVE,190,false,false,false,false,未取得,"1927"
kishida-ryusei,"岸田 劉生",https://atspect.com/pages/artist/kishida-ryusei,200,ACTIVE,198,false,false,false,false,未取得,"1929"
kimura-shohachi,"木村 荘八",https://atspect.com/pages/artist/kimura-shohachi,200,ACTIVE,156,false,false,false,false,未取得,"1958"
sekine-shoji,"関根 正二",https://atspect.com/pages/artist/sekine-shoji,200,ACTIVE,188,false,false,false,false,未取得,"1919"
murayama-kaita,"村山 槐多",https://atspect.com/pages/artist/murayama-kaita,200,ACTIVE,166,false,false,false,false,未取得,"1919"
fujita-tsuguharu,"藤田 嗣治",https://atspect.com/pages/artist/fujita-tsuguharu,200,ACTIVE,197,false,false,false,false,未取得,"1968"
saeki-yuzo,"佐伯 祐三",https://atspect.com/pages/artist/saeki-yuzo,200,ACTIVE,178,false,false,false,false,未取得,"1928"
maeda-kanji,"前田 寛治",https://atspect.com/pages/artist/maeda-kanji,200,ACTIVE,160,false,false,false,false,未取得,"1930"
koide-narashige,"小出 楢重",https://atspect.com/pages/artist/koide-narashige,200,ACTIVE,153,false,false,false,false,未取得,"1931"
yasui-sotaro,"安井 曾太郎",https://atspect.com/pages/artist/yasui-sotaro,200,ACTIVE,200,false,false,false,false,未取得,"1957"
umehara-ryuzaburo,"梅原 龍三郎",https://atspect.com/pages/artist/umehara-ryuzaburo,200,ACTIVE,234,false,false,false,false,未取得,"1986"
suda-kunitaro,"須田 国太郎",https://atspect.com/pages/artist/suda-kunitaro,200,ACTIVE,196,false,false,false,false,未取得,"1961"
kuniyoshi-yasuo,"国吉 康雄",https://atspect.com/pages/artist/kuniyoshi-yasuo,200,ACTIVE,185,false,false,false,false,未取得,"1953"
koga-harue,"古賀 春江",https://atspect.com/pages/artist/koga-harue,200,ACTIVE,198,false,false,false,false,未取得,"1933"
migishi-kotaro,"三岸 好太郎",https://atspect.com/pages/artist/migishi-kotaro,200,ACTIVE,179,false,false,false,false,未取得,"1934"
migishi-setsuko,"三岸 節子",https://atspect.com/pages/artist/migishi-setsuko,200,ACTIVE,176,false,false,false,false,未取得,"1999"
hayashi-takeshi,"林 武",https://atspect.com/pages/artist/hayashi-takeshi,200,ACTIVE,194,false,false,false,false,未取得,"1975"
nakagawa-kazumasa,"中川 一政",https://atspect.com/pages/artist/nakagawa-kazumasa,200,ACTIVE,187,false,false,false,false,未取得,"1991"
