そのページの作家	handle	欄	本文中の人名	本人ページの公式表記	言語	判定	本文での表記
丹下 健三	tange-kenzo	bio	前川國男	Maekawa Kunio	de	②語順が逆	Kunio Maekawa
清家 清	seike-kiyoshi	bio	篠原一男	Shinohara Kazuo	en	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	bio	篠原一男	Shinohara Kazuo	fr	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	bio	篠原一男	Shinohara Kazuo	es	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	bio	篠原一男	Shinohara Kazuo	de	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	bio	谷口吉郎	Taniguchi Yoshirō	en	④語順逆＋長音/アポストロフィ違い	~Yoshirō Taniguchi
清家 清	seike-kiyoshi	bio	谷口吉郎	Taniguchi Yoshirō	fr	④語順逆＋長音/アポストロフィ違い	~Yoshirō Taniguchi
清家 清	seike-kiyoshi	bio	谷口吉郎	Taniguchi Yoshirō	es	④語順逆＋長音/アポストロフィ違い	~Yoshirō Taniguchi
清家 清	seike-kiyoshi	bio	谷口吉郎	Taniguchi Yoshirō	de	④語順逆＋長音/アポストロフィ違い	~Yoshirō Taniguchi
清家 清	seike-kiyoshi	viewpoint	篠原一男	Shinohara Kazuo	en	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	viewpoint	篠原一男	Shinohara Kazuo	fr	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	viewpoint	篠原一男	Shinohara Kazuo	es	②語順が逆	Kazuo Shinohara
清家 清	seike-kiyoshi	viewpoint	篠原一男	Shinohara Kazuo	de	②語順が逆	Kazuo Shinohara
内田 祥三	uchida-yoshikazu	bio	佐野利器	Sano Toshikata	en	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	bio	佐野利器	Sano Toshikata	fr	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	bio	佐野利器	Sano Toshikata	es	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	bio	佐野利器	Sano Toshikata	de	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	viewpoint	佐野利器	Sano Toshikata	en	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	viewpoint	佐野利器	Sano Toshikata	fr	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	viewpoint	佐野利器	Sano Toshikata	es	②語順が逆	Toshikata Sano
内田 祥三	uchida-yoshikazu	viewpoint	佐野利器	Sano Toshikata	de	②語順が逆	Toshikata Sano
前川 國男	maekawa-kunio	bio	坂倉準三	Sakakura Junzo	en	②語順が逆	Junzo Sakakura
前川 國男	maekawa-kunio	bio	坂倉準三	Sakakura Junzo	fr	②語順が逆	Junzo Sakakura
前川 國男	maekawa-kunio	bio	坂倉準三	Sakakura Junzo	es	②語順が逆	Junzo Sakakura
前川 國男	maekawa-kunio	bio	坂倉準三	Sakakura Junzo	de	②語順が逆	Junzo Sakakura
大高正人	otaka-masato	bio	前川國男	Maekawa Kunio	en	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	bio	前川國男	Maekawa Kunio	fr	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	bio	前川國男	Maekawa Kunio	es	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	bio	前川國男	Maekawa Kunio	de	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	viewpoint	前川國男	Maekawa Kunio	en	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	viewpoint	前川國男	Maekawa Kunio	fr	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	viewpoint	前川國男	Maekawa Kunio	es	②語順が逆	Kunio Maekawa
大高正人	otaka-masato	viewpoint	前川國男	Maekawa Kunio	de	②語順が逆	Kunio Maekawa
東孝光	azuma-takamitsu	bio	坂倉準三	Sakakura Junzo	en	②語順が逆	Junzo Sakakura
東孝光	azuma-takamitsu	bio	坂倉準三	Sakakura Junzo	fr	②語順が逆	Junzo Sakakura
東孝光	azuma-takamitsu	bio	坂倉準三	Sakakura Junzo	es	②語順が逆	Junzo Sakakura
東孝光	azuma-takamitsu	bio	坂倉準三	Sakakura Junzo	de	⑥一部のみ:Junzo	Junzo
白井晟一	shirai-seiichi	bio	高村光太郎	Takamura Kōtarō	de	⑥一部のみ:Kōtarō	Kōtarō
西澤文隆	nishizawa-fumitaka	bio	坂倉準三	Sakakura Junzo	en	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	bio	坂倉準三	Sakakura Junzo	fr	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	bio	坂倉準三	Sakakura Junzo	es	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	bio	坂倉準三	Sakakura Junzo	de	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	viewpoint	坂倉準三	Sakakura Junzo	en	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	viewpoint	坂倉準三	Sakakura Junzo	fr	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	viewpoint	坂倉準三	Sakakura Junzo	es	②語順が逆	Junzo Sakakura
西澤文隆	nishizawa-fumitaka	viewpoint	坂倉準三	Sakakura Junzo	de	⑥一部のみ:Junzo	Junzo
