区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
規則どおり,,yamana-ayao,山名 文夫,Yamana Ayao,やまな あやお,,符号つきで一致
規則どおり,,hara-hiromu,原 弘,Hara Hiromu,はら ひろむ,,符号つきで一致
要裁定,(a) 長音の書き方,kono-takashi,河野 鷹思,Kono Takashi,こうの たかし,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kamekura-yusaku,亀倉 雄策,Kamekura Yusaku,かめくら ゆうさく,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,tanaka-ikko,田中 一光,Tanaka Ikko,たなか いっこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hayakawa-yoshio,早川 良雄,Hayakawa Yoshio,はやかわ よしお,,符号つきで一致
規則どおり,,fukuda-shigeo,福田 繁雄,Fukuda Shigeo,ふくだ しげお,,符号つきで一致
規則どおり,,awazu-kiyoshi,粟津 潔,Awazu Kiyoshi,あわづ きよし,,符号つきで一致
規則どおり,,katsui-mitsuo,勝井 三雄,Katsui Mitsuo,かつい みつお,,符号つきで一致
要裁定,(a) 長音の書き方,yamashiro-ryuichi,山城 隆一,Yamashiro Ryuichi,やましろ りゅういち,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,nakajo-masayoshi,仲條 正義,Nakajo Masayoshi,なかじょう まさよし,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,ishioka-eiko,石岡 瑛子,Ishioka Eiko,いしおか えいこ,,符号つきで一致
規則どおり,,manabe-hiroshi,真鍋 博,Manabe Hiroshi,まなべ ひろし,,符号つきで一致
規則どおり,,kimura-tsunehisa,木村 恒久,Kimura Tsunehisa,きむら つねひさ,,符号つきで一致
規則どおり,,hanamori-yasuji,花森 安治,Hanamori Yasuji,はなもり やすじ,,符号つきで一致
要裁定,(a) 長音の書き方,imatake-shichiro,今竹 七郎,Imatake Shichiro,いまたけ しちろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,ohashi-tadashi,大橋 正,Ohashi Tadashi,おおはし ただし,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kenmochi-isamu,剣持 勇,Kenmochi Isamu,けんもち いさむ,,符号つきで一致
要裁定,(a) 長音の書き方,yanagi-sori,柳 宗理,Yanagi Sori,やなぎ そうり,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,watanabe-riki,渡辺 力,Watanabe Riki,わたなべ りき,,符号つきで一致
規則どおり,,akioka-yoshio,秋岡 芳夫,Akioka Yoshio,あきおか よしお,,符号つきで一致
規則どおり,,ekuan-kenji,榮久庵 憲司,Ekuan Kenji,えくあん けんじ,,符号つきで一致
規則どおり,,mori-masahiro,森 正洋,Mori Masahiro,もり まさひろ,,符号つきで一致
要裁定,(a) 長音の書き方,kuramata-shiro,倉俣 史朗,Kuramata Shiro,くらまた しろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,toyoguchi-katsuhei,豊口 克平,Toyoguchi Katsuhei,とよぐち かつへい,,符号つきで一致
要裁定,(a) 長音の書き方,cho-daisaku,長 大作,Cho Daisaku,ちょう だいさく,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,uchida-shigeru,内田 繁,Uchida Shigeru,うちだ しげる,,符号つきで一致
規則どおり,,sugimoto-takashi,杉本 貴志,Sugimoto Takashi,すぎもと たかし,,符号つきで一致
