区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
規則どおり,,suzuki-chikako,鈴木 千賀子,Suzuki Chikako,すずき ちかこ,,符号つきで一致
要裁定,(a) 長音の書き方,kano-hogai,狩野 芳崖,Kano Hogai,かのう ほうがい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hashimoto-gaho,橋本 雅邦,Hashimoto Gaho,はしもと がほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tomioka-tessai,富岡 鉄斎,Tomioka Tessai,とみおか てっさい,,符号つきで一致
規則どおり,,yokoyama-taikan,横山 大観,Yokoyama Taikan,よこやま たいかん,,符号つきで一致
要裁定,(a) 長音の書き方,hishida-shunso,菱田 春草,Hishida Shunso,ひしだ しゅんそう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,shimomura-kanzan,下村 観山,Shimomura Kanzan,しもむら かんざん,,符号つきで一致
要裁定,(a) 長音の書き方,saigo-kogetsu,西郷 孤月,Saigo Kogetsu,さいごう こげつ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kimura-buzan,木村 武山,Kimura Buzan,きむら ぶざん,,符号つきで一致
要裁定,(a) 長音の書き方,imamura-shiko,今村 紫紅,Imamura Shiko,いまむら しこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,omoda-seiju,小茂田 青樹,Omoda Seiju,おもだ せいじゅ,,符号つきで一致
規則どおり,,yasuda-yukihiko,安田 靫彦,Yasuda Yukihiko,やすだ ゆきひこ,,符号つきで一致
規則どおり,,maeda-seison,前田 青邨,Maeda Seison,まえだ せいそん,,符号つきで一致
規則どおり,,kobayashi-kokei,小林 古径,Kobayashi Kokei,こばやし こけい,,符号つきで一致
要裁定,(a) 長音の書き方,hayami-gyoshu,速水 御舟,Hayami Gyoshu,はやみ ぎょしゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,nakamura-gakuryo,中村 岳陵,Nakamura Gakuryo,なかむら がくりょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kawabata-ryushi,川端 龍子,Kawabata Ryushi,かわばた りゅうし,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yokoyama-misao,横山 操,Yokoyama Misao,よこやま みさお,,符号つきで一致
要裁定,(a) 長音の書き方,takeuchi-seiho,竹内 栖鳳,Takeuchi Seiho,たけうち せいほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,uemura-shoen,上村 松園,Uemura Shoen,うえむら しょうえん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kikuchi-keigetsu,菊池 契月,Kikuchi Keigetsu,きくち けいげつ,,符号つきで一致
要裁定,(a) 長音の書き方,nishiyama-suisho,西山 翠嶂,Nishiyama Suisho,にしやま すいしょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tsuchida-bakusen,土田 麦僊,Tsuchida Bakusen,つちだ ばくせん,,符号つきで一致
規則どおり,,murakami-kagaku,村上 華岳,Murakami Kagaku,むらかみ かがく,,符号つきで一致
要裁定,(a) 長音の書き方,ono-chikkyo,小野 竹喬,Ono Chikkyo,おの ちっきょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,irie-hako,入江 波光,Irie Hako,いりえ はこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,sakakibara-shiho,榊原 紫峰,Sakakibara Shiho,さかきばら しほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,domoto-insho,堂本 印象,Domoto Insho,どうもと いんしょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,fukuda-heihachiro,福田 平八郎,Fukuda Heihachiro,ふくだ へいはちろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tokuoka-shinsen,徳岡 神泉,Tokuoka Shinsen,とくおか しんせん,,符号つきで一致
要裁定,(a) 長音の書き方,yamaguchi-kayo,山口 華楊,Yamaguchi Kayo,やまぐち かよう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,nishimura-goun,西村 五雲,Nishimura Goun,にしむら ごうん,,母音字を並べる形で一致／符号つきで一致
要裁定,(a) 長音の書き方,nakamura-daizaburo,中村 大三郎,Nakamura Daizaburo,なかむら だいざぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hashimoto-kansetsu,橋本 関雪,Hashimoto Kansetsu,はしもと かんせつ,,符号つきで一致
規則どおり,,matsubayashi-keigetsu,松林 桂月,Matsubayashi Keigetsu,まつばやし けいげつ,,符号つきで一致
規則どおり,,kitano-tsunetomi,北野 恒富,Kitano Tsunetomi,きたの つねとみ,,符号つきで一致
規則どおり,,shima-seien,島 成園,Shima Seien,しま せいえん,,符号つきで一致
要裁定,(a) 長音の書き方,kainosho-tadaoto,甲斐荘 楠音,Kainosho Tadaoto,かいのしょう ただおと,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kaburaki-kiyokata,鏑木 清方,Kaburaki Kiyokata,かぶらき きよかた,,符号つきで一致
要裁定,(a) 長音の書き方,ito-shinsui,伊東 深水,Ito Shinsui,いとう しんすい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kawai-gyokudo,川合 玉堂,Kawai Gyokudo,かわい ぎょくどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
定着表記の候補,,katayama-nampu,堅山 南風,Katayama Nampu,かたやま なんぷう,なんぷう→現行 Nampu ／規則の形 Nanpū・Nanpuu・Nanpu,不一致(撥音にm)（出典の確認が要る）
要裁定,(a) 長音の書き方,yamaguchi-hoshun,山口 蓬春,Yamaguchi Hoshun,やまぐち ほうしゅん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,gokura-senjin,郷倉 千靱,Gokura Senjin,ごうくら せんじん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kawasaki-shoko,川崎 小虎,Kawasaki Shoko,かわさき しょうこ,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kodama-kibo,児玉 希望,Kodama Kibo,こだま きぼう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,yamamoto-kyujin,山本 丘人,Yamamoto Kyujin,やまもと きゅうじん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,fukuda-toyoshiro,福田 豊四郎,Fukuda Toyoshiro,ふくだ とよしろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yoshioka-kenji,吉岡 堅二,Yoshioka Kenji,よしおか けんじ,,符号つきで一致
規則どおり,,sugiyama-yasushi,杉山 寧,Sugiyama Yasushi,すぎやま やすし,,符号つきで一致
規則どおり,,takayama-tatsuo,高山 辰雄,Takayama Tatsuo,たかやま たつお,,符号つきで一致
規則どおり,,higashiyama-kaii,東山 魁夷,Higashiyama Kaii,ひがしやま かいい,,符号つきで一致
規則どおり,,hashimoto-meiji,橋本 明治,Hashimoto Meiji,はしもと めいじ,,符号つきで一致
要裁定,(a) 長音の書き方,kayama-matazo,加山 又造,Kayama Matazo,かやま またぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hirayama-ikuo,平山 郁夫,Hirayama Ikuo,ひらやま いくお,,符号つきで一致
規則どおり,,moriya-tadashi,守屋 多々志,Moriya Tadashi,もりや ただし,,符号つきで一致
規則どおり,,kataoka-tamako,片岡 球子,Kataoka Tamako,かたおか たまこ,,符号つきで一致
規則どおり,,ogura-yuki,小倉 遊亀,Ogura Yuki,おぐら ゆき,,符号つきで一致
規則どおり,,akino-fuku,秋野 不矩,Akino Fuku,あきの ふく,,符号つきで一致
要裁定,(a) 長音の書き方,ikeda-yoson,池田 遙邨,Ikeda Yoson,いけだ ようそん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,iwahashi-eien,岩橋 英遠,Iwahashi Eien,いわはし えいえん,,符号つきで一致
規則どおり,,tanaka-isson,田中 一村,Tanaka Isson,たなか いっそん,,符号つきで一致
要裁定,(a) 長音の書き方,uemura-shoko,上村 松篁,Uemura Shoko,うえむら しょうこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,goto-sumio,後藤 純男,Goto Sumio,ごとう すみお,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,maruki-iri,丸木 位里,Maruki Iri,まるき いり,,符号つきで一致
規則どおり,,maruki-toshi,丸木 俊,Maruki Toshi,まるき とし,,符号つきで一致
規則どおり,,nakamura-masayoshi,中村 正義,Nakamura Masayoshi,なかむら まさよし,,符号つきで一致
規則どおり,,fusen-tetsu,不染 鉄,Fusen Tetsu,ふせん てつ,,符号つきで一致
規則どおり,,takahashi-yuichi,高橋 由一,Takahashi Yuichi,たかはし ゆいち,,符号つきで一致
規則どおり,,goseda-yoshimatsu,五姓田 義松,Goseda Yoshimatsu,ごせだ よしまつ,,符号つきで一致
要裁定,(a) 長音の書き方,asai-chu,浅井 忠,Asai Chu,あさい ちゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,yamamoto-hosui,山本 芳翠,Yamamoto Hosui,やまもと ほうすい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,harada-naojiro,原田 直次郎,Harada Naojiro,はらだ なおじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kuroda-seiki,黒田 清輝,Kuroda Seiki,くろだ せいき,,符号つきで一致
要裁定,(a) 長音の書き方,kume-keiichiro,久米 桂一郎,Kume Keiichiro,くめ けいいちろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,fujishima-takeji,藤島 武二,Fujishima Takeji,ふじしま たけじ,,符号つきで一致
要裁定,(a) 長音の書き方,okada-saburosuke,岡田 三郎助,Okada Saburosuke,おかだ さぶろうすけ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,wada-eisaku,和田 英作,Wada Eisaku,わだ えいさく,,符号つきで一致
規則どおり,,aoki-shigeru,青木 繁,Aoki Shigeru,あおき しげる,,符号つきで一致
要裁定,(a) 長音の書き方,sakamoto-hanjiro,坂本 繁二郎,Sakamoto Hanjiro,さかもと はんじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,nakamura-tsune,中村 彝,Nakamura Tsune,なかむら つね,,符号つきで一致
要裁定,(a) 長音の書き方,yorozu-tetsugoro,萬 鉄五郎,Yorozu Tetsugoro,よろず てつごろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kishida-ryusei,岸田 劉生,Kishida Ryusei,きしだ りゅうせい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kimura-shohachi,木村 荘八,Kimura Shohachi,きむら しょうはち,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,sekine-shoji,関根 正二,Sekine Shoji,せきね しょうじ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,murayama-kaita,村山 槐多,Murayama Kaita,むらやま かいた,,符号つきで一致
規則どおり,,fujita-tsuguharu,藤田 嗣治,Fujita Tsuguharu,ふじた つぐはる,,符号つきで一致
要裁定,(a) 長音の書き方,saeki-yuzo,佐伯 祐三,Saeki Yuzo,さえき ゆうぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,maeda-kanji,前田 寛治,Maeda Kanji,まえだ かんじ,,符号つきで一致
規則どおり,,koide-narashige,小出 楢重,Koide Narashige,こいで ならしげ,,符号つきで一致
要裁定,(a) 長音の書き方,yasui-sotaro,安井 曾太郎,Yasui Sotaro,やすい そうたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,umehara-ryuzaburo,梅原 龍三郎,Umehara Ryuzaburo,うめはら りゅうざぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,suda-kunitaro,須田 国太郎,Suda Kunitaro,すだ くにたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kuniyoshi-yasuo,国吉 康雄,Kuniyoshi Yasuo,くによし やすお,,符号つきで一致
規則どおり,,koga-harue,古賀 春江,Koga Harue,こが はるえ,,符号つきで一致
要裁定,(a) 長音の書き方,migishi-kotaro,三岸 好太郎,Migishi Kotaro,みぎし こうたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,migishi-setsuko,三岸 節子,Migishi Setsuko,みぎし せつこ,,符号つきで一致
規則どおり,,hayashi-takeshi,林 武,Hayashi Takeshi,はやし たけし,,符号つきで一致
規則どおり,,nakagawa-kazumasa,中川 一政,Nakagawa Kazumasa,なかがわ かずまさ,,符号つきで一致
要裁定,(a) 長音の書き方,chokai-seiji,鳥海 青児,Chokai Seiji,ちょうかい せいじ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,ebihara-kinosuke,海老原 喜之助,Ebihara Kinosuke,えびはら きのすけ,,符号つきで一致
要裁定,(a) 長音の書き方,kojima-zenzaburo,児島 善三郎,Kojima Zenzaburo,こじま ぜんざぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,fukuzawa-ichiro,福沢 一郎,Fukuzawa Ichiro,ふくざわ いちろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,koiso-ryohei,小磯 良平,Koiso Ryohei,こいそ りょうへい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,inokuma-genichiro,猪熊 弦一郎,Inokuma Genichiro,いのくま げんいちろう,げんいちろう→現行 Genichiro ／規則の形 Gen'ichirō・Gen'ichirou・Gen'ichiro,不一致(読みと合わない)
規則どおり,,wakita-kazu,脇田 和,Wakita Kazu,わきた かず,,符号つきで一致
規則どおり,,yamaguchi-takeo,山口 長男,Yamaguchi Takeo,やまぐち たけお,,符号つきで一致
定着表記の候補,,oguiss-takanori,荻須 高徳,Oguiss Takanori,おぐいす たかのり,おぐいす→現行 Oguiss ／規則の形 Oguisu・Oguisu・Oguisu,不一致(英語風の綴り)（出典の確認が要る）
規則どおり,,kazuki-yasuo,香月 泰男,Kazuki Yasuo,かづき やすお,,符号つきで一致
規則どおり,,matsumoto-shunsuke,松本 竣介,Matsumoto Shunsuke,まつもと しゅんすけ,,符号つきで一致
規則どおり,,aimitsu,靉光,Aimitsu,あいみつ,,符号つきで一致
要裁定,(a) 長音の書き方,togo-seiji,東郷 青児,Togo Seiji,とうごう せいじ,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,miyamoto-saburo,宮本 三郎,Miyamoto Saburo,みやもと さぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tasaki-hirosuke,田崎 広助,Tasaki Hirosuke,たさき ひろすけ,,符号つきで一致
規則どおり,,ushijima-noriyuki,牛島 憲之,Ushijima Noriyuki,うしじま のりゆき,,符号つきで一致
要裁定,(a) 長音の書き方,koyama-keizo,小山 敬三,Koyama Keizo,こやま けいぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kumagai-morikazu,熊谷 守一,Kumagai Morikazu,くまがい もりかず,,符号つきで一致
規則どおり,,ishii-hakutei,石井 柏亭,Ishii Hakutei,いしい はくてい,,符号つきで一致
規則どおり,,arishima-ikuma,有島 生馬,Arishima Ikuma,ありしま いくま,,符号つきで一致
要裁定,(a) 長音の書き方,yamashita-shintaro,山下 新太郎,Yamashita Shintaro,やました しんたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,shimizu-toshi,清水 登之,Shimizu Toshi,しみず とし,,符号つきで一致
要裁定,(a) 長音の書き方,takabatake-tatsushiro,高畠 達四郎,Takabatake Tatsushiro,たかばたけ たつしろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,satomi-katsuzo,里見 勝蔵,Satomi Katsuzo,さとみ かつぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hayashi-shizue,林 倭衛,Hayashi Shizue,はやし しずえ,,符号つきで一致
規則どおり,,hazama-inosuke,硲 伊之助,Hazama Inosuke,はざま いのすけ,,符号つきで一致
規則どおり,,somiya-ichinen,曾宮 一念,Somiya Ichinen,そみや いちねん,,符号つきで一致
要裁定,(a) 長音の書き方,suzuki-shintaro,鈴木 信太郎,Suzuki Shintaro,すずき しんたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,terauchi-manjiro,寺内 萬治郎,Terauchi Manjiro,てらうち まんじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,nakamura-kenichi,中村 研一,Nakamura Kenichi,なかむら けんいち,けんいち→現行 Kenichi ／規則の形 Ken'ichi・Ken'ichi・Ken'ichi,不一致(読みと合わない)
規則どおり,,miyake-kokki,三宅 克己,Miyake Kokki,みやけ こっき,,符号つきで一致
要裁定,(a) 長音の書き方,oshita-tojiro,大下 藤次郎,Oshita Tojiro,おおした とうじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yoshida-hiroshi,吉田 博,Yoshida Hiroshi,よしだ ひろし,,符号つきで一致
規則どおり,,yamaguchi-kaoru,山口 薫,Yamaguchi Kaoru,やまぐち かおる,,符号つきで一致
規則どおり,,murai-masanari,村井 正誠,Murai Masanari,むらい まさなり,,符号つきで一致
定着表記の候補,,nambata-tatsuoki,難波田 龍起,Nambata Tatsuoki,なんばた たつおき,なんばた→現行 Nambata ／規則の形 Nanbata・Nanbata・Nanbata,不一致(撥音にm)（出典の確認が要る）
要裁定,(a) 長音の書き方,aso-saburo,麻生 三郎,Aso Saburo,あそう さぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tsuruoka-masao,鶴岡 政男,Tsuruoka Masao,つるおか まさお,,符号つきで一致
要裁定,(a) 長音の書き方,inoue-chozaburo,井上 長三郎,Inoue Chozaburo,いのうえ ちょうざぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yamashita-kikuji,山下 菊二,Yamashita Kikuji,やました きくじ,,符号つきで一致
規則どおり,,kamoi-rei,鴨居 玲,Kamoi Rei,かもい れい,,符号つきで一致
要裁定,(a) 長音の書き方,noguchi-yataro,野口 弥太郎,Noguchi Yataro,のぐち やたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kobayashi-wasaku,小林 和作,Kobayashi Wasaku,こばやし わさく,,符号つきで一致
規則どおり,,tanaka-yasushi,田中 保,Tanaka Yasushi,たなか やすし,,符号つきで一致
規則どおり,,nakamura-fusetsu,中村 不折,Nakamura Fusetsu,なかむら ふせつ,,符号つきで一致
規則どおり,,hidai-tenrai,比田井 天来,Hidai Tenrai,ひだい てんらい,,符号つきで一致
要裁定,(a) 長音の書き方,bundo-shunkai,豊道 春海,Bundo Shunkai,ぶんどう しゅんかい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,tsujimoto-shiyu,辻本 史邑,Tsujimoto Shiyu,つじもと しゆう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,suzuki-suiken,鈴木 翠軒,Suzuki Suiken,すずき すいけん,,符号つきで一致
規則どおり,,nishikawa-yasushi,西川 寧,Nishikawa Yasushi,にしかわ やすし,,符号つきで一致
要裁定,(a) 長音の書き方,teshima-yukei,手島 右卿,Teshima Yukei,てしま ゆうけい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hibino-goho,日比野 五鳳,Hibino Goho,ひびの ごほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,aoyama-san-u,青山 杉雨,Aoyama San'u,あおやま さんう,,符号つきで一致
要裁定,(a) 長音の書き方,ueda-sokyu,上田 桑鳩,Ueda Sokyu,うえだ そうきゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kaneko-otei,金子 鷗亭,Kaneko Otei,かねこ おうてい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,ando-seiku,安東 聖空,Ando Seiku,あんどう せいくう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,matsumoto-hosui,松本 芳翠,Matsumoto Hosui,まつもと ほうすい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kuwahara-suiho,桑原 翠邦,Kuwahara Suiho,くわはら すいほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hidai-nankoku,比田井 南谷,Hidai Nankoku,ひだい なんこく,,符号つきで一致
規則どおり,,aizu-yaichi,会津 八一,Aizu Yaichi,あいづ やいち,,符号つきで一致
規則どおり,,kawamura-kizan,川村 驥山,Kawamura Kizan,かわむら きざん,,符号つきで一致
要裁定,(a) 長音の書き方,osawa-gakyu,大澤 雅休,Osawa Gakyu,おおさわ がきゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,uno-setsuson,宇野 雪村,Uno Setsuson,うの せっそん,せっそん→現行 Setsuson ／規則の形 Sesson・Sesson・Sesson,不一致(読みと合わない)
規則どおり,,sumiyama-nanboku,炭山 南木,Sumiyama Nanboku,すみやま なんぼく,,符号つきで一致
規則どおり,,tonomura-randen,殿村 藍田,Tonomura Randen,とのむら らんでん,,符号つきで一致
要裁定,(a) 長音の書き方,murakami-santo,村上 三島,Murakami Santo,むらかみ さんとう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kosaka-kiseki,小坂 奇石,Kosaka Kiseki,こさか きせき,,符号つきで一致
規則どおり,,hirotsu-unsen,廣津 雲仙,Hirotsu Unsen,ひろつ うんせん,,符号つきで一致
規則どおり,,kobayashi-toan,小林 斗盦,Kobayashi Toan,こばやし とあん,,符号つきで一致
規則どおり,,sugioka-kason,杉岡 華邨,Sugioka Kason,すぎおか かそん,,符号つきで一致
要裁定,(a) 長音の書き方,onoe-saishu,尾上 柴舟,Onoe Saishu,おのえ さいしゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,ono-gado,小野 鵞堂,Ono Gado,おの がどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,iijima-shunkei,飯島 春敬,Iijima Shunkei,いいじま しゅんけい,,符号つきで一致
規則どおり,,kumagai-tsuneko,熊谷 恒子,Kumagai Tsuneko,くまがい つねこ,,符号つきで一致
規則どおり,,kuwata-sasafune,桑田 笹舟,Kuwata Sasafune,くわた ささふね,,符号つきで一致
要裁定,(a) 長音の書き方,tanaka-kaido,田中 塊堂,Tanaka Kaido,たなか かいどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,nakabayashi-gochiku,中林 梧竹,Nakabayashi Gochiku,なかばやし ごちく,,符号つきで一致
規則どおり,,kusakabe-meikaku,日下部 鳴鶴,Kusakabe Meikaku,くさかべ めいかく,,符号つきで一致
規則どおり,,soejima-taneomi,副島 種臣,Soejima Taneomi,そえじま たねおみ,,符号つきで一致
要裁定,(a) 長音の書き方,yamaoka-tesshu,山岡 鉄舟,Yamaoka Tesshu,やまおか てっしゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kitaoji-rosanjin,北大路 魯山人,Kitaoji Rosanjin,きたおおじ ろさんじん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kamijo-shinzan,上條 信山,Kamijo Shinzan,かみじょう しんざん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,sakaki-bakuzan,榊 莫山,Sakaki Bakuzan,さかき ばくざん,,符号つきで一致
要裁定,(a) 長音の書き方,imai-ryosetsu,今井 凌雪,Imai Ryosetsu,いまい りょうせつ,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,inoue-yuichi,井上 有一,Inoue Yuichi,いのうえ ゆういち,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,takamura-koun,高村 光雲,Takamura Koun,たかむら こううん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,takamura-kotaro,高村 光太郎,Takamura Kotaro,たかむら こうたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,ogiwara-morie,荻原 守衛,Ogiwara Morie,おぎわら もりえ,,符号つきで一致
規則どおり,,asakura-fumio,朝倉 文夫,Asakura Fumio,あさくら ふみお,,符号つきで一致
要裁定,(a) 長音の書き方,kitamura-seibo,北村 西望,Kitamura Seibo,きたむら せいぼう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hirakushi-denchu,平櫛 田中,Hirakushi Denchu,ひらくし でんちゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
定着表記の候補,,sato-gengyo,佐藤 玄々,Sato Gengyo,さとう げんげん,げんげん→現行 Gengyo ／規則の形 Gengen・Gengen・Gengen,不一致(別綴り)（出典の確認が要る）
規則どおり,,hashimoto-heihachi,橋本 平八,Hashimoto Heihachi,はしもと へいはち,,符号つきで一致
要裁定,(a) 長音の書き方,nakahara-teijiro,中原 悌二郎,Nakahara Teijiro,なかはら ていじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tobari-kogan,戸張 孤雁,Tobari Kogan,とばり こがん,,符号つきで一致
要裁定,(a) 長音の書き方,ishii-tsuruzo,石井 鶴三,Ishii Tsuruzo,いしい つるぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,shinkai-taketaro,新海 竹太郎,Shinkai Taketaro,しんかい たけたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yonehara-unkai,米原 雲海,Yonehara Unkai,よねはら うんかい,,符号つきで一致
要裁定,(a) 長音の書き方,yamazaki-choun,山崎 朝雲,Yamazaki Choun,やまざき ちょううん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tatehata-taimu,建畠 大夢,Tatehata Taimu,たてはた たいむ,,符号つきで一致
規則どおり,,kitamura-shikai,北村 四海,Kitamura Shikai,きたむら しかい,,符号つきで一致
要裁定,(a) 長音の書き方,naito-shin,内藤 伸,Naito Shin,ないとう しん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,yoshida-saburo,吉田 三郎,Yoshida Saburo,よしだ さぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kato-kensei,加藤 顕清,Kato Kensei,かとう けんせい,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,shimizu-takashi,清水 多嘉示,Shimizu Takashi,しみず たかし,,符号つきで一致
規則どおり,,kinouchi-yoshi,木内 克,Kinouchi Yoshi,きのうち よし,,母音字を並べる形で一致／符号つきで一致
要裁定,(a) 長音の書き方,sato-churyo,佐藤 忠良,Sato Churyo,さとう ちゅうりょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,funakoshi-yasutake,舟越 保武,Funakoshi Yasutake,ふなこし やすたけ,,符号つきで一致
規則どおり,,yanagihara-yoshitatsu,柳原 義達,Yanagihara Yoshitatsu,やなぎはら よしたつ,,符号つきで一致
要裁定,(a) 長音の書き方,hongo-shin,本郷 新,Hongo Shin,ほんごう しん,,長音を書かない形（規則の2つの書き方のどちらでもない）
